ROI,Lobe,Hemisphere,Axial,Sagittal,Coronal
caudalmiddlefrontal,Frontal,Left,1.5288507525492,1.48867895044147,1.48867895044147
frontalpole,Frontal,Left,2.23377120012746,2.25737407540574,2.25737407540574
lateralorbitofrontal,Frontal,Left,1.81649607967909,1.88528403239867,1.88528403239867
medialorbitofrontal,Frontal,Left,1.81362173011786,1.88487820590706,1.88487820590706
parsopercularis,Frontal,Left,2.03807202049386,2.10233087247669,2.10233087247669
parsorbitalis,Frontal,Left,1.66186301273033,1.70466308987789,1.70466308987789
parstriangularis,Frontal,Left,1.78742656417606,1.84853324920434,1.84853324920434
precentral,Frontal,Left,1.92896995952897,1.8976570383408,1.8976570383408
rostralmiddlefrontal,Frontal,Left,1.9307757652005,1.95656508211436,1.95656508211436
superiorfrontal,Frontal,Left,1.93726283952475,1.9800071925774,1.9800071925774
insula,Insular,Left,2.4677204779239,2.49328348006954,2.49328348006954
caudalanteriorcingulate,Limbic,Left,1.73459517454587,1.88952772972731,1.88952772972731
isthmuscingulate,Limbic,Left,2.11164182495195,2.1417733794472,2.1417733794472
posteriorcingulate,Limbic,Left,1.92652058939005,1.96116998725994,1.96116998725994
rostralanteriorcingulate,Limbic,Left,1.55372099911725,1.60948091352427,1.60948091352427
cuneus,Occipital,Left,1.83310331457232,1.8446717623187,1.8446717623187
lateraloccipital,Occipital,Left,1.90283792545699,1.90590583119465,1.90590583119465
lingual,Occipital,Left,1.80252177059013,1.84073475733949,1.84073475733949
pericalcarine,Occipital,Left,1.50480375809899,1.5194435009273,1.5194435009273
inferiorparietal,Parietal,Left,2.12068834848604,2.14635979917964,2.14635979917964
paracentral,Parietal,Left,1.90675271335485,1.92457892924421,1.92457892924421
postcentral,Parietal,Left,1.83017632247195,1.80454505540604,1.80454505540604
precuneus,Parietal,Left,2.17536835394469,2.20927050401425,2.20927050401425
superiorparietal,Parietal,Left,1.99719747735648,2.02120521533507,2.02120521533507
supramarginal,Parietal,Left,2.0580766229782,2.07468966026639,2.07468966026639
bankssts,Temporal,Left,1.77490479470861,1.84131906564737,1.84131906564737
entorhinal,Temporal,Left,1.43858448000872,1.53549635545528,1.53549635545528
fusiform,Temporal,Left,2.01041625782146,2.02083674413348,2.02083674413348
inferiortemporal,Temporal,Left,2.11388425539466,2.14180319666997,2.14180319666997
middletemporal,Temporal,Left,1.8421086606311,1.88805837941298,1.88805837941298
parahippocampal,Temporal,Left,1.32541377704603,1.43239451262196,1.43239451262196
superiortemporal,Temporal,Left,2.05119244487688,2.09764580303792,2.09764580303792
temporalpole,Temporal,Left,2.10709553182622,2.40196939787791,2.40196939787791
transversetemporal,Temporal,Left,1.87362730659937,1.88386428994792,1.88386428994792
caudalmiddlefrontal,Frontal,Right,2.27962714443906,2.24624692407689,2.24624692407689
frontalpole,Frontal,Right,2.58813447583982,2.56642343713662,2.56642343713662
lateralorbitofrontal,Frontal,Right,2.46656588568674,2.42017861843438,2.42017861843438
medialorbitofrontal,Frontal,Right,2.1140114968481,2.11402179991846,2.11402179991846
parsopercularis,Frontal,Right,2.43343474703892,2.53236158896226,2.53236158896226
parsorbitalis,Frontal,Right,2.62936345479957,2.59228490938848,2.59228490938848
parstriangularis,Frontal,Right,2.33366203683765,2.3707303122813,2.3707303122813
precentral,Frontal,Right,1.99809617857574,1.97657523223141,1.97657523223141
rostralmiddlefrontal,Frontal,Right,2.30942934113323,2.31283693831122,2.31283693831122
superiorfrontal,Frontal,Right,2.40348521346676,2.41213089178499,2.41213089178499
insula,Insular,Right,3.05239155030204,3.11515566141057,3.11515566141057
caudalanteriorcingulate,Limbic,Right,2.18184005880534,2.25148290262293,2.25148290262293
isthmuscingulate,Limbic,Right,1.99784086507369,2.09353434003677,2.09353434003677
posteriorcingulate,Limbic,Right,2.16687626693754,2.21926500634822,2.21926500634822
rostralanteriorcingulate,Limbic,Right,2.59169759889879,2.47595246358784,2.47595246358784
cuneus,Occipital,Right,1.82960987145647,1.81636466542589,1.81636466542589
lateraloccipital,Occipital,Right,1.99640161561702,2.01779962726513,2.01779962726513
lingual,Occipital,Right,1.88882800016761,1.88175253927493,1.88175253927493
pericalcarine,Occipital,Right,1.49485520236255,1.53336052252445,1.53336052252445
inferiorparietal,Parietal,Right,2.30569367504356,2.31319099609248,2.31319099609248
paracentral,Parietal,Right,1.9683639170513,2.01245674788874,2.01245674788874
postcentral,Parietal,Right,1.83821916560632,1.82984962517387,1.82984962517387
precuneus,Parietal,Right,2.2999710285701,2.3290235865303,2.3290235865303
superiorparietal,Parietal,Right,2.03562430062189,2.04155285843336,2.04155285843336
supramarginal,Parietal,Right,2.30080646052682,2.31096746403747,2.31096746403747
bankssts,Temporal,Right,2.38749312149371,2.40762401919113,2.40762401919113
entorhinal,Temporal,Right,1.98408754649025,1.98898338756117,1.98898338756117
fusiform,Temporal,Right,2.30735970470584,2.22524474353091,2.22524474353091
inferiortemporal,Temporal,Right,2.2925991102762,2.28093104177341,2.28093104177341
middletemporal,Temporal,Right,2.49297896564443,2.52954440008917,2.52954440008917
parahippocampal,Temporal,Right,1.9715189573138,1.82814141389423,1.82814141389423
superiortemporal,Temporal,Right,2.46643896744601,2.54763457662468,2.54763457662468
temporalpole,Temporal,Right,2.69204555249418,2.83047131473607,2.83047131473607
transversetemporal,Temporal,Right,2.00708012483184,2.08792966627128,2.08792966627128
